Name,Title,citation-all,citation-since2016,h-index-all,h-index-since2016,i10-index-all,i10-index-since2016
Lynn Batten,Emeritus Professor,2528,1172,23,16,45,21
Andrzej Goscinski,Emeritus Professor,,,,,,
Jemal Abawajy,Professor,,,,,,
Maia Angelova,Professor,682,399,15,11,21,14
Gleb Beliakov,Professor,8173,4632,42,32,135,86
Terry Caelli,Professor,8665,1477,51,20,177,36
Jinho Choi,Professor,7822,5031,37,29,168,96
Chang-Tsun Li,Professor,4344,2339,33,21,104,65
Robin Doss,Professor,,,,,,
Peter Eklund,Professor,3962,778,34,14,72,23
Seng Loke,Professor,7182,2907,38,21,126,50
Antonio Robles-Kelly,Professor,3655,1534,24,15,62,27
Jean-Guy Schneider,Professor,1812,646,24,15,48,21
Yong Xiang,Professor,6308,4971,40,35,118,95
John Yearwood,Professor,3793,1998,32,23,92,45
Arkady Zaslavsky,Professor,14939,8339,50,33,177,80
Mohamed Abdelrazek,Associate Professor,1863,1263,16,15,27,23
Andrew Cain,Associate Professor,291,194,10,9,11,8
Richard Dazeley,Associate Professor,1472,950,16,13,24,15
Guangyan Huang,Associate Professor,1130,811,20,18,29,24
Gang Li,Associate Professor,4117,2826,28,24,89,61
Jianxin Li,Associate Professor,1463,1084,21,18,39,32
Xiao Liu,Associate Professor,3223,1753,26,20,52,42
Vicky Mak,Associate Professor,385,227,11,8,14,6
Tim Wilkin,Associate Professor,387,310,10,10,11,10
